time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-02T06:30:44.607Z,63.5374,-147.3096,0,1.5,ml,,,,0.51,ak,ak17429164,2017-12-02T06:35:56.828Z,"83km ENE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-12-02T06:23:47.816Z,61.6002,-149.9828,40.4,1.4,ml,,,,0.64,ak,ak17429162,2017-12-02T06:30:05.410Z,"8km N of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-12-02T06:21:31.260Z,36.6290016,-121.2531662,5.19,1.44,md,11,154,0.05269,0.07,nc,nc72933530,2017-12-02T06:53:02.557Z,"15km NW of Pinnacles, CA",earthquake,0.44,1.58,0.17,9,automatic,nc,nc
2017-12-02T06:18:03.420Z,38.8416672,-122.8303299,1.88,0.69,md,7,117,0.005066,0,nc,nc72933525,2017-12-02T06:41:02.533Z,"10km WNW of Cobb, CA",earthquake,0.56,1.2,0.08,2,automatic,nc,nc
2017-12-02T06:15:07.760Z,34.3043333,-81.1946667,4.05,2.42,md,12,88,0.05832,0.25,se,se60048213,2017-12-02T19:27:14.945Z,"11km WSW of Winnsboro Mills, South Carolina",earthquake,0.97,1.22,0.053,9,reviewed,se,se
2017-12-02T06:07:01.257Z,38.0567,-117.9782,6.9,1,ml,16,136.56,0.401,0.1765,nn,nn00614104,2017-12-02T15:54:17.007Z,"65km W of Tonopah, Nevada",earthquake,,5,0.21,10,reviewed,nn,nn
2017-12-02T06:06:25.050Z,33.8421667,-116.8846667,16.58,0.93,ml,40,54,0.07316,0.24,ci,ci37821847,2017-12-02T06:10:09.069Z,"9km S of Banning, CA",earthquake,0.33,0.8,0.114,27,automatic,ci,ci
2017-12-02T05:52:23.726Z,37.8656,-118.1761,0,1.2,ml,12,115.07,0.465,0.1888,nn,nn00614129,2017-12-02T18:52:14.139Z,"57km NNE of Dixon Lane-Meadow Creek, California",earthquake,,0,0.35,8,reviewed,nn,nn
2017-12-02T05:43:31.610Z,33.391,-116.3585,3.39,0.65,ml,19,115,0.132,0.18,ci,ci37821839,2017-12-02T05:47:02.435Z,"15km N of Borrego Springs, CA",earthquake,0.43,1.39,0.135,16,automatic,ci,ci
2017-12-02T05:17:50.670Z,38.8100014,-122.8241653,1.5,0.56,md,14,71,0.004077,0.04,nc,nc72933495,2017-12-02T05:36:03.394Z,"7km WNW of The Geysers, CA",earthquake,0.26,0.53,0.13,4,automatic,nc,nc
